FirstName,LastName,Street,City,State,Postal,Country,Email,Phone,Latitude,Longitude,Categories,PickupAt,TimeZoneId
Nick,Howard,3952 Delaware Avenue,San Francisco,CA,94104,US,NickSHoward@gustr.com,415-236-3552,37.728791,-122.479851,1,2016-11-17T09:00:00-08:00,America/Los_Angeles
Sharon,Kellett,4032 Roosevelt Street,San Francisco,CA,94107,US,SharonPKellett@superrito.com,415-466-3367,37.69364,-122.307818,38,2016-11-04T17:00:00-07:00,America/Los_Angeles
Darius,Aycock,1720 Harrison Street,San Francisco,CA,94115,US,DariusJAycock@rhyta.com,415-561-1827,37.79657,-122.405808,10,2016-11-01T20:00:00-07:00,America/Los_Angeles
Crystal,Parker,1036 Jim Rosa Lane,San Francisco,CA,94115,US,CrystalRParker@gustr.com,415-749-5498,37.730252,-122.533527,9,2016-11-03T15:00:00-07:00,America/Los_Angeles
Raymond,Bennington,3438 Station Street,San Francisco,CA,94104,US,RaymondCBennington@armyspy.com,510-897-1978,37.798963,-122.393269,1,2016-11-30T10:00:00-08:00,America/Los_Angeles
Louis,Smith,4425 Locust View Drive,San Francisco,CA,94143,US,LouisKSmith@gustr.com,415-978-4582,37.807955,-122.419078,38,2016-11-02T15:00:00-07:00,America/Los_Angeles
Lessie,Whitlock,3148 Harrison Street,San Francisco,CA,94122,US,LessieJWhitlock@fleckens.hu,415-502-4054,37.75647,-122.531622,58,2016-11-12T20:00:00-08:00,America/Los_Angeles
Dawn,Russell,2879 Wayside Lane,San Francisco,CA,94108,US,DawnSRussell@superrito.com,510-333-0105,37.724932,-122.315605,62,2016-11-01T14:00:00-07:00,America/Los_Angeles
Carroll,Keys,3529 Friendship Lane,San Francisco,CA,94104,US,CarrollRKeys@superrito.com,408-564-8129,37.885052,-122.457943,21,2016-11-24T20:00:00-08:00,America/Los_Angeles
Candice,Manning,231 Thunder Road,San Francisco,CA,94143,US,CandiceJManning@dayrep.com,650-478-8428,37.801985,-122.383507,37,2016-11-06T10:00:00-08:00,America/Los_Angeles
Michael,Lucas,4957 Delaware Avenue,San Francisco,CA,94107,US,MichaelSLucas@gustr.com,415-275-2388,37.788115,-122.375641,54,2016-11-27T19:00:00-08:00,America/Los_Angeles
Dorothy,Gray,1164 Cemetery Street,San Francisco,CA,94108,US,DorothyJGray@dayrep.com,831-840-4093,37.720741,-122.331787,1,2016-11-27T17:00:00-08:00,America/Los_Angeles
Dennis,Ramos,1231 Boring Lane,San Francisco,CA,94108,US,DennisTRamos@fleckens.hu,415-705-3377,37.725789,-122.463445,5,2016-11-12T19:00:00-08:00,America/Los_Angeles
Stephen,Dollar,4856 Wolf Pen Road,San Francisco,CA,94107,US,StephenBDollar@jourrapide.com,650-426-0735,37.863112,-122.445819,30,2016-11-18T19:00:00-08:00,America/Los_Angeles
Amy,West,2826 Alexander Avenue,San Francisco,CA,94108,US,AmyEWest@fleckens.hu,925-549-0387,37.814424,-122.372089,41,2016-11-22T12:00:00-08:00,America/Los_Angeles
Frank,McCoy,1251 Water Street,San Francisco,CA,94107,US,FrankMMcCoy@jourrapide.com,925-359-2949,37.789819,-122.392289,60,2016-11-10T11:00:00-08:00,America/Los_Angeles
Lois,Allen,4086 Wolf Pen Road,San Francisco,CA,94107,US,LoisJAllen@jourrapide.com,650-392-5240,37.796687,-122.341701,14,2016-11-13T14:00:00-08:00,America/Los_Angeles
Hazel,Preston,4360 Roosevelt Street,San Francisco,CA,94108,US,HazelHPreston@jourrapide.com,415-420-4447,37.742265,-122.479316,62,2016-11-06T10:00:00-08:00,America/Los_Angeles
Mollie,McBee,1998 Harrison Street,San Francisco,CA,94103,US,MollieWMcBee@rhyta.com,415-487-3386,37.743726,-122.407823,41,2016-11-07T15:00:00-08:00,America/Los_Angeles
Pat,Andrade,4012 Pretty View Lane,San Francisco,CA,94103,US,PatAAndrade@fleckens.hu,707-929-6765,37.825326,-122.474224,52,2016-11-05T14:00:00-07:00,America/Los_Angeles
Rosa,Kautz,4544 Wayside Lane,San Francisco,CA,94108,US,RosaDKautz@jourrapide.com,510-331-3686,37.812949,-122.346028,15,2016-11-05T16:00:00-07:00,America/Los_Angeles
Lucas,Williams,4359 Beech Street,San Francisco,CA,94107,US,LucasBWilliams@rhyta.com,925-856-1005,37.718668,-122.408218,60,2016-11-27T19:00:00-08:00,America/Los_Angeles
Robert,Eley,4214 Park Street,San Francisco,CA,94124,US,RobertLEley@superrito.com,925-500-5913,37.821236,-122.284022,34,2016-11-08T13:00:00-08:00,America/Los_Angeles
Jesus,Fuqua,692 Meadow Lane,San Francisco,CA,94108,US,JesusKFuqua@teleworm.us,707-318-8239,37.816043,-122.32451,2,2016-11-20T14:00:00-08:00,America/Los_Angeles
Leticia,Barnett,4526 Harrison Street,San Francisco,CA,94107,US,LeticiaDBarnett@jourrapide.com,415-496-1769,37.764093,-122.315984,26,2016-11-25T10:00:00-08:00,America/Los_Angeles
Joe,Peele,2905 Delaware Avenue,San Francisco,CA,94108,US,JoeFPeele@jourrapide.com,415-288-8891,37.80068,-122.459801,11,2016-11-10T13:00:00-08:00,America/Los_Angeles
Ella,Murphy,2536 Ella Street,San Francisco,CA,94107,US,EllaJMurphy@superrito.com,650-242-2856,37.734371,-122.4157,23,2016-11-19T18:00:00-08:00,America/Los_Angeles
Margaret,Redding,2631 Jim Rosa Lane,San Francisco,CA,94104,US,MargaretMRedding@armyspy.com,415-763-9722,37.747669,-122.422617,18,2016-11-22T11:00:00-08:00,America/Los_Angeles
Billie,Murdock,4232 Harrison Street,San Francisco,CA,94107,US,BillieMMurdock@superrito.com,415-517-8165,37.740508,-122.493246,29,2016-11-12T15:00:00-08:00,America/Los_Angeles
Paul,Jones,36 Rardin Drive,San Francisco,CA,94107,US,PaulGJones@dayrep.com,650-636-7677,37.716292,-122.473244,61,2016-11-06T08:00:00-08:00,America/Los_Angeles
Sara,Tobar,1801 Roosevelt Street,San Francisco,CA,94143,US,SaraWTobar@rhyta.com,415-357-3472,37.826201,-122.369613,23,2016-11-20T20:00:00-08:00,America/Los_Angeles
Tammy,Banfield,2367 Boring Lane,San Francisco,CA,94103,US,TammyJBanfield@jourrapide.com,415-723-8454,37.777329,-122.337638,31,2016-11-13T16:00:00-08:00,America/Los_Angeles
Nicole,Colon,3105 Locust View Drive,San Francisco,CA,94118,US,NicoleCColon@jourrapide.com,415-876-4014,37.751895,-122.434145,22,2016-11-04T14:00:00-07:00,America/Los_Angeles
Robert,Hill,4944 Delaware Avenue,San Francisco,CA,94108,US,RobertOHill@jourrapide.com,415-260-7025,37.87493,-122.493354,15,2016-11-22T12:00:00-08:00,America/Los_Angeles
Jeremy,Whitehead,3853 Harrison Street,San Francisco,CA,94122,US,JeremyFWhitehead@dayrep.com,415-476-4487,37.836381,-122.510329,25,2016-11-12T08:00:00-08:00,America/Los_Angeles
Kathryn,Matos,4645 Wolf Pen Road,San Francisco,CA,94107,US,KathrynEMatos@armyspy.com,650-412-3344,37.782684,-122.485858,29,2016-11-12T10:00:00-08:00,America/Los_Angeles
Lillian,Splawn,4268 Ella Street,San Francisco,CA,94107,US,LillianBSplawn@fleckens.hu,650-297-1472,37.731648,-122.482254,15,2016-11-09T16:00:00-08:00,America/Los_Angeles
Berneice,Wright,2164 Ella Street,San Francisco,CA,94107,US,BerneiceDWright@fleckens.hu,650-288-4514,37.697924,-122.45927,3,2016-11-11T15:00:00-08:00,America/Los_Angeles
Alex,Kaplan,1386 Duck Creek Road,San Francisco,CA,94104,US,AlexHKaplan@teleworm.us,650-801-8935,37.697702,-122.486385,22,2016-11-14T15:00:00-08:00,America/Los_Angeles
Reggie,Ealey,3951 Duck Creek Road,San Francisco,CA,94103,US,ReggieJEaley@teleworm.us,650-860-7486,37.733093,-122.449617,48,2016-11-26T10:00:00-08:00,America/Los_Angeles
David,Long,4215 Alexander Avenue,San Francisco,CA,94111,US,DavidMLong@jourrapide.com,925-571-0864,37.854003,-122.322013,53,2016-11-24T11:00:00-08:00,America/Los_Angeles
James,Molina,1572 Roosevelt Street,San Francisco,CA,94105,US,JamesKMolina@teleworm.us,415-408-6017,37.815457,-122.353407,57,2016-11-04T13:00:00-07:00,America/Los_Angeles
Elinor,Velarde,2689 Lynch Street,San Francisco,CA,94107,US,ElinorJVelarde@fleckens.hu,925-223-1001,37.862696,-122.406821,56,2016-11-07T16:00:00-08:00,America/Los_Angeles
Dora,Peters,442 Roosevelt Street,San Francisco,CA,94108,US,DoraRPeters@superrito.com,415-394-0416,37.890576,-122.361574,48,2016-11-05T17:00:00-07:00,America/Los_Angeles
Mary,Walsh,3002 Meadow Lane,San Francisco,CA,94104,US,MaryTWalsh@superrito.com,707-267-4594,37.772345,-122.42811,50,2016-11-21T14:00:00-08:00,America/Los_Angeles
Randall,Hensley,3831 Boring Lane,San Francisco,CA,94110,US,RandallDHensley@cuvox.de,415-643-0587,37.749497,-122.387057,9,2016-11-27T09:00:00-08:00,America/Los_Angeles
Patricia,Reich,2170 Locust View Drive,San Francisco,CA,94115,US,PatriciaAReich@armyspy.com,415-921-5623,37.730494,-122.371925,20,2016-11-10T09:00:00-08:00,America/Los_Angeles
